The World''s First Love: Mary  Mother of God,1,8987059752,2,276,1996-09-01,1010
The Illuminati,2.0,20049130001.0,1.0,352.0,2004-10-04,1967.0
The Servant Leader,3.0,23755004321.0,1.0,128.0,2003-03-11,1967.0
What Life Was Like in the Jewel in the Crown: British India  AD 1600-1905,4.0,34406054602.0,1.0,168.0,1999-09-01,1978.0
Cliffs Notes on Aristophanes'' Lysistrata  The Birds  The Clouds  The Frogs,5.0,49086007763.0,1.0,80.0,1983-12-29,416.0
William Goldman: Four Screenplays,7.0,73999254907.0,2.0,504.0,2000-05-01,95.0
The Season: A Candid Look at Broadway,8.0,73999768442.0,1.0,448.0,2004-07-01,1136.0
The Beatles Complete - Updated Edition,9.0,73999960822.0,1.0,303.0,1986-12-01,835.0
Working Effectively with Legacy Code,10.0,76092025986.0,1.0,464.0,2004-09-01,1591.0
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,13.0,645241001173.0,1.0,438.0,2000-05-31,435.0
Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,14.0,694055000612.0,1.0,64.0,2001-03-01,1739.0
The Mystery in the Rocky Mountains,16.0,710430023622.0,1.0,145.0,2001-04-01,354.0
The Mystery on the Mighty Mississippi,17.0,710430023639.0,1.0,142.0,2001-04-01,354.0
Programming in C,18.0,752063326664.0,1.0,576.0,2004-07-08,1749.0
Manhunt Official Strategy Guide,20.0,752073003227.0,1.0,175.0,2003-11-25,313.0
Living La Dolce Vita: Bring the Passion  Laughter  and Serenity of Italy Into Your Daily Life,21.0,760789719271.0,1.0,272.0,2003-04-01,1859.0
Aliens: Original Sin,22.0,761568107371.0,1.0,256.0,2005-10-26,490.0
The Zen of CSS Design: Visual Enlightenment for the Web,23.0,785342303476.0,2.0,296.0,2005-02-17,1461.0
Algorithms in C  Parts 1-4: Fundamentals  Data Structures  Sorting  Searching,24.0,785342314526.0,5.0,720.0,1997-09-27,34.0
Healing Therapies for Overcoming Insomnia,25.0,798499100096.0,1.0,175.0,2005-02-23,479.0
The Prophet,26.0,9780001000391.0,1.0,127.0,2010-01-01,1735.0
After the Funeral,28.0,9780002310192.0,1.0,251.0,2001-07-02,882.0
Rage of Angels,32.0,9780006178736.0,1.0,512.0,1999-08-03,889.0
The Four Loves,33.0,9780006280897.0,2.0,170.0,2002-06-05,891.0
Divine Conspiracy: Rediscovering Our Hidden Life in God,34.0,9780006281146.0,2.0,384.0,1998-10-05,730.0
Agatha Christie: An Autobiography,35.0,9780006353287.0,1.0,560.0,2001-01-02,882.0
Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,36.0,9780006380832.0,1.0,608.0,1998-01-01,889.0
