order_id,book_id,price
3403,3309,19.07
8147,5889,4.25
7701,1226,8.94
9993,9707,14.11
2582,2979,0.37
1857,7708,13.81
5176,7548,17.71
5000,3508,5.51
7479,7468,13.26
9914,4460,3.15
5054,8631,1.35
6268,8533,0.93
7145,5480,9.74
9639,10043,2.21
8597,3084,4.17
1867,7577,8.78
3325,10393,19.68
7343,3120,3.37
6812,306,15.16
6555,6859,12.55
9932,8885,19.2
1607,9458,18.24
1999,3387,10.67
7567,6908,11.26
2419,3407,10.41
9602,9538,11.9
7330,4697,15.22
7095,10395,13.35
8835,4634,1.17
6277,11110,4.44
4183,7402,14.76
9811,4697,12.18
1248,9515,19.56
2364,4517,8.83
4013,5162,19.4
1350,7659,9.84
3621,4203,16.3
7890,7603,13.51
7351,659,11.63
6749,4681,15.95
9843,4482,3.01
9281,4594,18.27
4680,8035,11.89
4393,3233,4.2
6373,7745,10.15
3527,9489,8.99
2915,11017,1.85
6707,3110,19.74
7004,7110,4.86
8725,5056,13.93
4864,7297,4.25
6708,5603,1.84
5208,349,17.34
5036,10255,9.24
1339,6548,5.71
8003,11053,16.87
6714,10024,17.05
8754,2114,12.15
2194,6356,9.21
1194,503,9.57
8747,8373,5.12
6010,3728,12.43
4811,3866,5.6
5249,3484,0.08
7432,6334,5.31
2869,8375,9.72
8186,5628,1.97
9225,10902,16.4
2700,9870,15.05
2699,1386,15.38
5543,3595,19.03
4236,2673,10.69
1968,7317,7.0
8364,6050,15.55
8144,6625,4.22
9622,4596,17.07
3724,9020,4.14
5169,224,9.38
6466,5668,13.45
2938,3049,15.25
2479,486,1.18
5960,8097,14.02
2716,9022,10.0
1363,1553,2.72
9529,6737,9.43
9367,6517,10.67
2621,10017,6.99
1232,6537,10.33
6857,5989,14.33
3692,8036,8.4
3660,3164,7.01
9849,8164,5.44
8205,9412,14.41
1307,10599,9.92
7130,6955,4.22
2525,6965,13.63
5095,9256,5.79
2364,9585,12.89
6081,4234,19.92
8234,10515,5.01
6742,9804,14.51
6146,6111,0.68
6981,2712,9.61
8581,7690,7.57
4316,8654,5.31
5828,9484,9.05
5721,8646,10.89
5797,292,12.34
2897,3594,13.8
4058,7059,14.13
5253,394,18.45
5070,4627,9.49
5000,7003,10.41
4241,10246,2.1
2509,7910,17.05
7366,6512,4.52
8755,3332,17.91
9132,8077,16.88
6844,6650,19.96
3842,11011,3.47
4089,3063,17.32
8339,3647,9.12
3291,10491,12.07
8949,6845,7.42
8610,6488,19.39
4381,2881,1.96
4567,8207,19.12
2376,2286,19.71
4322,9569,9.5
5570,7897,4.99
7131,8052,18.59
4478,657,5.31
4794,298,4.16
3661,7808,10.06
2125,8184,19.66
2930,5954,19.09
4368,6172,11.17
7691,9441,10.31
4046,10953,11.07
1543,4831,12.91
8384,7951,2.25
7482,9656,1.34
9938,5435,11.66
3894,518,13.67
2254,6469,19.49
1484,1898,9.9
4548,88,1.4
1040,9258,0.54
4488,7966,12.31
7350,3392,1.48
1116,2,19.34
7706,6262,1.55
9251,6222,2.7
4639,3766,18.54
9709,7282,3.16
4682,713,10.79
5316,10536,3.94
7654,1133,4.8
1307,8797,7.59
9423,5592,7.62
9815,1605,6.89
7893,5952,3.34
1564,6962,3.82
1992,10217,18.64
3628,8543,9.41
2879,3653,0.81
6058,4532,0.18
2242,6104,2.44
1776,2384,13.04
4007,994,7.0
6904,2345,8.26
9132,6811,6.34
3216,1161,8.07
5631,4236,7.18
4683,5288,3.02
5306,5216,8.61
6202,3649,7.97
3811,2973,4.19
4427,511,14.51
6558,8836,6.89
9654,9062,12.25
5573,2015,3.13
1752,1899,18.15
1802,10690,19.27
1939,6076,15.12
6785,7675,9.78
2216,4625,6.79
9185,2038,16.8
4344,9140,16.71
8188,1779,18.89
2116,2716,7.66
8501,10769,14.64
6171,4690,17.19
4620,10548,6.55
4214,5775,13.32
7954,335,16.74
5668,2871,0.99
1907,5358,3.17
7384,8205,0.39
6221,5676,8.88
1546,5987,6.5
5032,1823,15.17
3886,4202,4.75
3815,8027,14.17
7591,7665,11.25
2298,2148,5.18
6981,526,0.5
9796,2922,13.28
5489,2695,1.0
1457,9440,15.61
6910,10991,5.47
9477,9559,4.47
3771,1344,6.21
8338,8457,6.43
9636,3052,16.21
8950,4856,15.72
6638,268,2.55
5067,2017,1.2
9321,1844,3.05
6877,9562,1.78
8403,1483,11.4
9464,7899,4.93
7050,9826,7.59
6004,2769,8.4
4190,1653,19.84
9081,4746,0.11
8610,4862,17.53
4187,6991,6.97
8598,6505,13.55
8547,6679,10.19
5577,9664,4.31
1586,5625,3.58
6201,1323,4.55
9242,3967,13.57
3503,7717,8.72
3461,4398,1.73
8040,8667,13.15
2620,7183,11.7
6708,5652,5.18
8059,9834,15.29
1139,10057,8.7
8999,906,16.86
6414,173,10.64
7364,7080,12.76
9954,10327,3.15
9656,4211,9.95
3049,1222,3.0
3577,7657,4.0
7606,2283,8.58
7991,7112,3.14
4592,10996,14.29
9152,10228,0.57
8965,741,3.2
5336,4536,10.98
9165,8311,15.53
2988,2192,5.55
2553,283,13.07
3557,1622,0.35
3152,7233,19.69
8659,639,17.56
2457,5689,7.96
7361,4488,3.84
4482,6528,8.77
1843,9538,6.32
6689,7439,10.67
3858,5562,15.73
1011,1410,4.9
5060,7529,0.83
3118,7299,2.66
4452,2058,7.16
6881,2188,10.27
2892,2414,13.09
3617,4078,8.38
2950,9499,16.12
9272,8423,4.06
9372,5272,14.04
3212,971,5.38
5289,10274,14.39
8961,248,4.91
