10/18,1
1st Book Library,2.0
1st World Library,3.0
A Harvest Book/Harcourt Inc.,5.0
A K PETERS,6.0
AA World Services,7.0
Abacus,8.0
Abacus Books,9.0
Abdo Publishing Company,11.0
Abingdon Press,12.0
Abradale Books/Harry N. Abrams,13.0
Abraham Guillen Press,14.0
Abrams,15.0
Absolute Press,16.0
Abstract Studio,17.0
Academic Press,18.0
Academica Press,19.0
Academy Chicago Publishers,20.0
Ace,21.0
Ace Book,22.0
Ace Books,23.0
Ace Hardcover,24.0
Ace Trade,25.0
Ace/SFBC,26.0
Acento Editorial,27.0
Actes Sud,29.0
Adamant Media Corporation,30.0
Adams Media,31.0
Addison Wesley,32.0
Addison Wesley Publishing Company,33.0
Addison-Wesley Professional,34.0
ADV Manga,35.0
Advantage World Press,36.0
Adventures Unlimited Press,37.0
Aegypan,38.0
Aerie,39.0
AHA! Process,40.0
AIT Planet Lar,41.0
Aivia Press,42.0
AK Press,43.0
Akashic Books/Punk Planet Books,44.0
Aladdin,45.0
Aladdin Paperbacks,46.0
Alan Rodgers Books,47.0
Albert Whitman Company,48.0
Albin Michel,49.0
Albury Publishing,50.0
Alcoholics Anonymous World Services Inc,51.0
Alderac Entertainment Group,52.0
Alfabeta Bokförlag,54.0
Alfaguara,55.0
Alfaguara Infantil,56.0
Alfred A. Knopf,57.0
Alfred A. Knopf Inc.,58.0
Alfred A. Knopf Books for Young Readers,59.0
Alfred A. Knopf Borzoi Books,60.0
Alfred A.Knopf,61.0
Algonquin Books,62.0
Alianza Editorial,63.0
Alison Green Books,64.0
Allen & Ulwin,65.0
Allen Lane,66.0
Alliance Publishing,67.0
Allworth,68.0
Allyn & Bacon,69.0
Alpha,70.0
Alpha Books,71.0
Alyson Books,72.0
Amadeus,73.0
Amereon Limited,74.0
Amereon Ltd,75.0
America''s Test Kitchen,76.0
American Diabetes Association,77.0
American Girl Publishing Inc,78.0
American University in Cairo Press,79.0
Amherst Media,80.0
Amherst Media Inc.,81.0
Amistad,82.0
Amistad Press,83.0
AMR/Advanced Management Reports,84.0
Anagrama,85.0
Anchor,86.0
Anchor Bible,87.0
Anchor Books,88.0
Anchor Books/Knopf Doubleday Publishing Group,89.0
Anchor Canada,90.0
Andrews and McMeel,91.0
Andrews McMeel Publishing,92.0
Ann Arbor Media,93.0
Annick Press,94.0
Applause Books,95.0
Applause Theatre & Cinema Book Publishers,96.0
Apple,97.0
Applewood Books,99.0
Apress,100.0
Arbordale Publishing,101.0
Arcade Publishing,102.0
Arcadia Publishing,103.0
Archaia,105.0
Archie Comics,106.0
Archipelago Books,107.0
Arden Shakespeare,108.0
Aris & Phillips,109.0
Aris and Phillips,110.0
Arkana,111.0
Arkana/Penguin,112.0
Arkham House Publishers,113.0
Arléa,114.0
Arlington House,115.0
Arrow,116.0
Arrow Books,118.0
Arrow Books Ltd,119.0
Arsenal Pulp Press,120.0
Arthur A. Levine,121.0
Arthur A. Levine Books,122.0
Arthur A. Levine Books / Scholastic Inc.,123.0
Artisan,124.0
Arts Publications,125.0
ASCD,126.0
Ash Tree Publishing,127.0
Ash-Tree Press,128.0
Aspect,129.0
Association for Scottish Literary Studies,130.0
Association for Supervision & Curriculum Development,131.0
Atelos Press,132.0
Atheneum,133.0
Atheneum Books,134.0
Atheneum Books for Young Readers,135.0
Atheneum Books for Young Readers: Richard Jackson Books,136.0
Atheneum/Richard Jackson Books,137.0
Atlantic,138.0
Atlantic Books,139.0
Atlantic Monthly Press,141.0
Atlas Books/HarperCollins Publishers,143.0
Atria Books,144.0
Audio Literature,145.0
Audio Partners,146.0
Audio Renaissance,147.0
AudioGO,148.0
AudioText,149.0
Augsburg Fortress Publishing,150.0
Aurum,151.0
Aurum Press,152.0
Authorhouse,153.0
AVA Publishing,154.0
Avalon Travel,155.0
Ave Maria Press,156.0
Avenel Books,157.0
Avery,158.0
Avery Publishing Group,159.0
Avon,160.0
Avon Books,161.0
Avon HarperCollins,164.0
AvonEos,165.0
Award Books,166.0
B Books,167.0
B Fiction,168.0
B.E.S. Publishing,169.0
B&H Publishing Group,170.0
Babel,171.0
Back Bay,172.0
Back Bay Books,173.0
Backinprint.com,174.0
Backstage Books,175.0
Baen,176.0
Baen Books,177.0
Baker Books,178.0
Ballantine,179.0
Ballantine Books,180.0
Banner of Truth,182.0
Bantam,183.0
Bantam Books,186.0
Bantam Books Inc.,187.0
Bantam Classic,189.0
Bantam Classics,190.0
Bantam Doubleday Dell Publishing Company Inc.,192.0
Bantam Doubleday Dell Publishing Group,193.0
Bantam Press,194.0
Bantam Skylark,195.0
Bantam Spectra,196.0
Bantam Starfire,198.0
BantamSpectra,199.0
Bantem Press,200.0
Barbour Books,201.0
Barefoot Books,202.0
Barn Owl Books,203.0
Barnes Noble,204.0
Barnes Noble Classics,205.0
Barnes & Noble,206.0
Barnes & Noble Books,207.0
Barnes & Noble Classics,208.0
Baronet Books,209.0
Barricade Books,210.0
Barrington Stoke,211.0
Barron''s Educational Series,212.0
Barrons Educational Series,213.0
Basic Books,214.0
Bastei Lübbe,217.0
Baton Wicks,218.0
Batsford,219.0
BBC Audiobooks,220.0
BBC Audiobooks America,221.0
BBC Audiobooks Ltd,222.0
BBC Books,223.0
BBC Physical Audio,224.0
BBC Worldwide,225.0
BCP/Duckworth Publishing,226.0
Be Beautiful,227.0
Beach Lane Books,228.0
Beacon Press,229.0
Bear Company,231.0
Beckett Media,232.0
Bedford Books,233.0
Bedford/St. Martin''s,234.0
Belknap Press,235.0
Belknap Press of Harvard University Press,236.0
Beltz und Gelberg,237.0
BenBella Books,238.0
Benjamin Cummings,239.0
Benjamin-Cummings Publishing Company,240.0
Benziger,241.0
Berkley,242.0
Berkley Books,243.0
Berkley Hardcover,245.0
Berkley Heat,246.0
Berkley Prime Crime,247.0
