10/18,1
1st Book Library,2
1st World Library,3
A & C Black (Childrens books,
A Harvest Book/Harcourt Inc.,5
A K PETERS,6
AA World Services,7
Abacus,8
Abacus Books,9
Abacus Books (London,
Abdo Publishing Company,11
Abingdon Press,12
Abradale Books/Harry N. Abrams,13
Abraham Guillen Press,14
Abrams,15
Absolute Press,16
Abstract Studio,17
Academic Press,18
Academica Press,19
Academy Chicago Publishers,20
Ace,21
Ace Book,22
Ace Books,23
Ace Hardcover,24
Ace Trade,25
Ace/SFBC,26
Acento Editorial,27
Acropolis Books (NY,
Actes Sud,29
Adamant Media Corporation,30
Adams Media,31
Addison Wesley,32
Addison Wesley Publishing Company,33
Addison-Wesley Professional,34
ADV Manga,35
Advantage World Press,36
Adventures Unlimited Press,37
Aegypan,38
Aerie,39
AHA! Process,40
AIT Planet Lar,41
Aivia Press,42
AK Press,43
Akashic Books/Punk Planet Books,44
Aladdin,45
Aladdin Paperbacks,46
Alan Rodgers Books,47
Albert Whitman Company,48
Albin Michel,49
Albury Publishing,50
Alcoholics Anonymous World Services Inc,51
Alderac Entertainment Group,52
Alderac Entertainment Group (AEG,
Alfabeta Bokförlag,54
Alfaguara,55
Alfaguara Infantil,56
Alfred A. Knopf,57
Alfred A. Knopf Inc.,58
Alfred A. Knopf Books for Young Readers,59
Alfred A. Knopf Borzoi Books,60
Alfred A.Knopf,61
Algonquin Books,62
Alianza Editorial,63
Alison Green Books,64
Allen & Ulwin,65
Allen Lane,66
Alliance Publishing,67
Allworth,68
Allyn & Bacon,69
Alpha,70
Alpha Books,71
Alyson Books,72
Amadeus,73
Amereon Limited,74
Amereon Ltd,75
America''s Test Kitchen,76
American Diabetes Association,77
American Girl Publishing Inc,78
American University in Cairo Press,79
Amherst Media,80
Amherst Media Inc.,81
Amistad,82
Amistad Press,83
AMR/Advanced Management Reports,84
Anagrama,85
Anchor,86
Anchor Bible,87
Anchor Books,88
Anchor Books/Knopf Doubleday Publishing Group,89
Anchor Canada,90
Andrews and McMeel,91
Andrews McMeel Publishing,92
Ann Arbor Media,93
Annick Press,94
Applause Books,95
Applause Theatre & Cinema Book Publishers,96
Apple,97
Apple Paperbacks (Scholastic,
Applewood Books,99
Apress,100
Arbordale Publishing,101
Arcade Publishing,102
Arcadia Publishing,103
Arcadia Publishing (SC,
Archaia,105
Archie Comics,106
Archipelago Books,107
Arden Shakespeare,108
Aris & Phillips,109
Aris and Phillips,110
Arkana,111
Arkana/Penguin,112
Arkham House Publishers,113
Arléa,114
Arlington House,115
Arrow,116
Arrow (A Division of Random House Group,
Arrow Books,118
Arrow Books Ltd,119
Arsenal Pulp Press,120
Arthur A. Levine,121
Arthur A. Levine Books,122
Arthur A. Levine Books / Scholastic Inc.,123
Artisan,124
Arts Publications,125
ASCD,126
Ash Tree Publishing,127
Ash-Tree Press,128
Aspect,129
Association for Scottish Literary Studies,130
Association for Supervision & Curriculum Development,131
Atelos Press,132
Atheneum,133
Atheneum Books,134
Atheneum Books for Young Readers,135
Atheneum Books for Young Readers: Richard Jackson Books,136
Atheneum/Richard Jackson Books,137
Atlantic,138
Atlantic Books,139
Atlantic Books (UK,
